date,sample,site,location,depth,split,species,total,count,stage,species_stage
7/18/19,132,Mussel Point,offshore,surface,64,Pinnotherid,320,5,,Pinnotherids_
7/18/19,132,Mussel Point,offshore,surface,64,B.balanus,128,2,nauplius,B. balanus_naup ?
7/18/19,132,Mussel Point,offshore,surface,64,Crangonidae,128,2,,Crangonidae_
7/18/19,132,Mussel Point,offshore,surface,64,Cyclopoid,1088,17,adult,Cyclopoids_adults
7/18/19,132,Mussel Point,offshore,surface,64,Diatom,384,6,,Diatom_
7/18/19,132,Mussel Point,offshore,surface,64,E.analoga,64,1,zoea_1,Emerita analoga_zoea 1
7/18/19,132,Mussel Point,offshore,surface,64,Evadne,1664,26,adult,Evadne_adults
7/18/19,132,Mussel Point,offshore,surface,64,Fish,64,1,egg,Fish egg_
7/18/19,132,Mussel Point,offshore,surface,64,Hydrozoan,64,1,medusa,Hydrozoan jelly_medusa
7/18/19,132,Mussel Point,offshore,surface,64,B.crenatus,128,2,nauplius_2.3,B. crenatus_naups 1-3
7/18/19,132,Mussel Point,offshore,surface,64,Larvacean,384,6,adult,Larvaceans_adults
7/18/19,132,Mussel Point,offshore,surface,64,P.crassipes,64,1,,Pachygrapsis crassipes_
7/18/19,132,Mussel Point,offshore,surface,64,Phoronid,64,1,larva,Phoronid_
7/18/19,132,Mussel Point,offshore,surface,64,Podon,6208,97,adult,Podons_adults
7/18/19,132,Mussel Point,offshore,surface,64,Polychaete,384,6,,Polychaetes_
7/18/19,132,Mussel Point,offshore,surface,64,Shrimp,128,2,zoea,shrimp_zoea
7/18/19,132,Mussel Point,offshore,surface,64,Xanthidae,128,2,,Xanthidae_
7/18/19,132,Mussel Point,offshore,surface,64,B.crenatus,2112,33,nauplius_4.5,B. crenatus_naups 4-5
7/18/19,132,Mussel Point,offshore,surface,64,B.crenatus,576,9,cyprid,B. crenatus_cyprids
7/18/19,132,Mussel Point,offshore,surface,64,B.improvisus,64,1,cyprid,B. improvisus_cyprid
7/18/19,132,Mussel Point,offshore,surface,64,C.dalli.fissus,64,1,nauplius,C. dalli/fissus_naup
7/18/19,132,Mussel Point,offshore,surface,64,Calanoid,18944,296,adult,Calanoids_adults
7/18/19,132,Mussel Point,offshore,surface,64,Chaetognath,64,1,adult,Chaetognath_adults
7/18/19,132,Mussel Point,offshore,surface,64,Copepod,512,8,metanauplius,Copepods_metanauplius
8/15/19,311,Mussel Point,onshore,bottom,64,Foram ,64,1,,Foram _
8/15/19,311,Mussel Point,onshore,bottom,64,Hippolytidae,64,1,,Hippolydae_
8/15/19,311,Mussel Point,onshore,bottom,64,Lithothidae,64,1,zoea_2,Lithothidae_zoea 2
8/15/19,311,Mussel Point,onshore,bottom,64,Lithothidae,64,1,zoea_3,Lithothidae_zoea 3
8/15/19,311,Mussel Point,onshore,bottom,64,Littorina,64,1,egg_case,Littorina egg case_
8/15/19,311,Mussel Point,onshore,bottom,64,Pinnotherid,64,1,,Pinnotherids_
8/15/19,311,Mussel Point,onshore,bottom,64,Copepod,128,2,metanauplius,Copepods_metanaups
8/15/19,311,Mussel Point,onshore,bottom,64,Egg_large,128,2,egg,Eggs (large)_
8/15/19,311,Mussel Point,onshore,bottom,64,Harpactacoid,320,5,adult,Harpacticoids_
8/15/19,311,Mussel Point,onshore,bottom,64,B.improvisus,448,7,nauplius_4.5,B. improvisus_naups 4-5
8/15/19,311,Mussel Point,onshore,bottom,64,Gastropod,448,7,juvenile,Gastropods_
8/15/19,311,Mussel Point,onshore,bottom,64,Bivalve,512,8,juvenile,Bivalves_
8/15/19,311,Mussel Point,onshore,bottom,64,Cyclopoid,576,9,adult,Cyclopoids_
8/15/19,311,Mussel Point,onshore,bottom,64,Phoronid,768,12,larva,Phoronids_larvae
8/15/19,311,Mussel Point,onshore,bottom,64,Polychaete,1088,17,setager,Polychaetes_setagers
8/15/19,311,Mussel Point,onshore,bottom,64,B.crenatus,1408,22,cyprid,B. crenatus_cyprids
8/15/19,311,Mussel Point,onshore,bottom,64,Egg_small,2688,42,egg,Eggs (small)_
8/15/19,311,Mussel Point,onshore,bottom,64,Larvacean,3200,50,adult,Larvaceae_
8/15/19,311,Mussel Point,onshore,bottom,64,B.crenatus,3712,58,nauplius_4.5,B. crenatus_naups 4-5
8/15/19,311,Mussel Point,onshore,bottom,64,Evadne,15872,248,adult,Evadne_
8/15/19,311,Mussel Point,onshore,bottom,64,B.crenatus,23168,362,nauplius_2.3,B. crenatus_naups 2-3
8/15/19,311,Mussel Point,onshore,bottom,64,Podon,35968,562,adult,Podons_
8/15/19,311,Mussel Point,onshore,bottom,64,Calanoid,45440,710,adult,Calanoids_
8/15/19,311,Mussel Point,onshore,bottom,64,Diatom,54720,855,,Diatoms_
8/15/19,312,Mussel Point,onshore,surface,64,Bryozoan,64,1,,Bryozoan_
8/15/19,312,Mussel Point,onshore,surface,64,Copepod,64,1,metanauplius,Copepod_metanaup
8/15/19,312,Mussel Point,onshore,surface,64,Isopod,64,1,adult,Isopod_
8/15/19,312,Mussel Point,onshore,surface,64,Polychaete,64,1,setager,Polychaete_setager
8/15/19,312,Mussel Point,onshore,surface,64,B.crenatus,128,2,cyprid,B. crenatus_cyprids
8/15/19,312,Mussel Point,onshore,surface,64,Chaetognath,128,2,adult,Chaetognaths_adult
8/15/19,312,Mussel Point,onshore,surface,64,Gastropod,128,2,juvenile,Gastropods_
8/15/19,312,Mussel Point,onshore,surface,64,Invertebrate,128,2,egg,Invert eggs_
8/15/19,312,Mussel Point,onshore,surface,64,Pinnotherid,128,2,zoea_1,Pinnotherids_zoea 1
8/15/19,312,Mussel Point,onshore,surface,64,Fish,896,14,egg,Fish eggs_
8/15/19,312,Mussel Point,onshore,surface,64,B.crenatus,2240,35,nauplius_4.5,B. crenatus_naup 4-5
8/15/19,312,Mussel Point,onshore,surface,64,Cyclopoid,2880,45,adult,Cyclopoids_adult
8/15/19,312,Mussel Point,onshore,surface,64,Larvacean,2880,45,adult,Larvaceans_
8/15/19,312,Mussel Point,onshore,surface,64,Evadne,13184,206,adult,Evadne_adult
8/15/19,312,Mussel Point,onshore,surface,64,Podon,27200,425,adult,Podons_adult
8/15/19,312,Mussel Point,onshore,surface,64,Calanoid,35328,552,adult,Calanoids_adult
8/15/19,312,Mussel Point,onshore,surface,64,Diatom,40512,633,,Diatoms_
8/15/19,312,Mussel Point,onshore,surface,64,Foram ,256,4,,Forams_
8/15/19,321,Mussel Point,front,bottom,128,Egg_small,128,1,egg,Eggs (small)_
8/15/19,321,Mussel Point,front,bottom,128,Bivalve,256,2,juvenile,Bivalves_
8/15/19,321,Mussel Point,front,bottom,128,Egg_large,256,2,egg,Eggs (large)_
8/15/19,321,Mussel Point,front,bottom,128,Gastropod,256,2,juvenile,Gastropods (regular)_
8/15/19,321,Mussel Point,front,bottom,128,Harpactacoid,384,3,adult,Harpacticoids_
8/15/19,321,Mussel Point,front,bottom,128,Larvacean,640,5,adult,Larvaceans_
8/15/19,321,Mussel Point,front,bottom,128,B.crenatus,1280,10,cyprid,B. crenatus_cyprids
8/15/19,321,Mussel Point,front,bottom,128,B.crenatus,1792,14,nauplius_4.5,B. crenatus_naup 4-5
8/15/19,321,Mussel Point,front,bottom,128,Cyclopoid,2176,17,adult,Cyclopoids_
8/15/19,321,Mussel Point,front,bottom,128,Evadne,25984,203,adult,Evadne_
8/15/19,321,Mussel Point,front,bottom,128,Diatom,29312,229,,Diatoms_
8/15/19,321,Mussel Point,front,bottom,128,Calanoid,44288,346,adult,Calanoids_
8/15/19,321,Mussel Point,front,bottom,128,Podon,57344,448,adult,Podons_
8/15/19,322,Mussel Point,front,surface,128,Dictyocysta (diatom),128,1,,Dictyocysta (diatom)_
8/15/19,322,Mussel Point,front,surface,128,Egg_large,128,1,egg,Eggs (large)_
8/15/19,322,Mussel Point,front,surface,128,Phoronid,128,1,larva,Phoronids_
8/15/19,322,Mussel Point,front,surface,128,Polychaete,128,1,setager,Polychaetes_setagers
8/15/19,322,Mussel Point,front,surface,128,B.crenatus,256,2,nauplius_4.5,B. crenatus_naups 4-5
8/15/19,322,Mussel Point,front,surface,128,Cyclopoid,256,2,adult,Cyclopoids_adult
8/15/19,322,Mussel Point,front,surface,128,B.crenatus,384,3,cyprid,B. crenatus_cyprids
8/15/19,322,Mussel Point,front,surface,128,Bivalve,512,4,juvenile,Bivalves_
8/15/19,322,Mussel Point,front,surface,128,Larvacean,1664,13,adult,Larvaceans_adult
8/15/19,322,Mussel Point,front,surface,128,Podon,39936,312,adult,Podons_adult
8/15/19,322,Mussel Point,front,surface,128,Evadne,40064,313,adult,Evadne_adult
8/15/19,322,Mussel Point,front,surface,128,Diatom,41984,328,,Diatoms_
8/15/19,322,Mussel Point,front,surface,128,Calanoid,86272,674,adult,Calanoids_adult
8/15/19,331,Mussel Point,offshore,bottom,128,B.crenatus,128,1,nauplius,B. crenatus_
8/15/19,331,Mussel Point,offshore,bottom,128,Polychaete,128,1,,Polychaetes_
8/15/19,331,Mussel Point,offshore,bottom,128,Cyclopoid,256,2,adult,Cyclopoids_
8/15/19,331,Mussel Point,offshore,bottom,128,Phoronid,256,2,larva,Phoronids_
8/15/19,331,Mussel Point,offshore,bottom,128,B.crenatus,512,4,cyprid,B. crenatus_
8/15/19,331,Mussel Point,offshore,bottom,128,Lithothidae,512,4,zoea_2,Lithothidae_zoea 2
8/15/19,331,Mussel Point,offshore,bottom,128,Bivalve,640,5,juvenile,Bivalves_late larvae
8/15/19,331,Mussel Point,offshore,bottom,128,Larvacean,1408,11,adult,Larvaceans_
8/15/19,331,Mussel Point,offshore,bottom,128,Diatom,33152,259,,Diatoms_
8/15/19,331,Mussel Point,offshore,bottom,128,Podon,71424,558,adult,Podons_
8/15/19,331,Mussel Point,offshore,bottom,128,Evadne,77952,609,adult,Evadne_
8/15/19,331,Mussel Point,offshore,bottom,128,Calanoid,104320,815,adult,Calanoids_
8/15/19,332,Mussel Point,offshore,surface,128,Egg mass,128,1,egg,Egg mass_
8/15/19,332,Mussel Point,offshore,surface,128,Egg_small,128,1,egg,Eggs (small)_
8/15/19,332,Mussel Point,offshore,surface,128,Phoronid,128,1,larva,Phoronids_
8/15/19,332,Mussel Point,offshore,surface,128,B.crenatus,256,2,nauplius_4.5,B. crenatus_naups 4-5
8/15/19,332,Mussel Point,offshore,surface,128,Chaetognath,256,2,adult,Chaetognath_
8/15/19,332,Mussel Point,offshore,surface,128,B.crenatus,512,4,cyprid,B. crenatus_cyprids
8/15/19,332,Mussel Point,offshore,surface,128,Cyclopoid,1280,10,adult,Cyclopoids_adult
8/15/19,332,Mussel Point,offshore,surface,128,Bivalve,1408,11,juvenile,Bivalves_
8/15/19,332,Mussel Point,offshore,surface,128,Larvacean,1664,13,adult,Larvaceans_adult
8/15/19,332,Mussel Point,offshore,surface,128,Diatom,67072,524,,Diatoms_
8/15/19,332,Mussel Point,offshore,surface,128,Podon,84096,657,adult,Podons_adult
8/15/19,332,Mussel Point,offshore,surface,128,Calanoid,101888,796,adult,Calanoids_adult
8/15/19,332,Mussel Point,offshore,surface,128,Evadne,112384,878,adult,Evadne_adult
6/24/20,511,Mussel Point,onshore,bottom,32,Bivalve,32,1,umbo,
6/24/20,511,Mussel Point,onshore,bottom,32,Calanoid,32,1,metanauplius,
6/24/20,511,Mussel Point,onshore,bottom,32,Diatom,32,1,adult,
6/24/20,511,Mussel Point,onshore,bottom,32,E.analoga,32,1,nauplius_1,
6/24/20,511,Mussel Point,onshore,bottom,32,Egg_large,32,1,egg,
6/24/20,511,Mussel Point,onshore,bottom,32,Larvacean,32,1,adult,
6/24/20,511,Mussel Point,onshore,bottom,32,Patiria.miniata,32,1,juvenile,
6/24/20,511,Mussel Point,onshore,bottom,32,Polychaete,32,1,setager,
6/24/20,511,Mussel Point,onshore,bottom,32,Upogebia,32,1,zoea_1,
6/24/20,511,Mussel Point,onshore,bottom,32,Urchin,32,1,larva,
6/24/20,511,Mussel Point,onshore,bottom,32,C.dalli.fissus,64,2,nauplius_4.5,
6/24/20,511,Mussel Point,onshore,bottom,32,B.crenatus,96,3,cyprid,
6/24/20,511,Mussel Point,onshore,bottom,32,B.crenatus,96,3,nauplius_4.5,
6/24/20,511,Mussel Point,onshore,bottom,32,Foram,128,4,adult,
6/24/20,511,Mussel Point,onshore,bottom,32,Pteropod,128,4,adult,
6/24/20,511,Mussel Point,onshore,bottom,32,B.crenatus,256,8,nauplius_2.3,
6/24/20,511,Mussel Point,onshore,bottom,32,Egg_small,320,10,egg,
6/24/20,511,Mussel Point,onshore,bottom,32,Calanoid,352,11,nauplius,
6/24/20,511,Mussel Point,onshore,bottom,32,Calanoid,25472,823,adult,
6/24/20,512,Mussel Point,onshore,surface,8,Amphipod,8,1,adult,
6/24/20,512,Mussel Point,onshore,surface,8,Evadne,8,1,adult,
6/24/20,512,Mussel Point,onshore,surface,8,Hydroid ,8,1,adult,
6/24/20,512,Mussel Point,onshore,surface,8,Hydroid ,8,1,adult,
6/24/20,512,Mussel Point,onshore,surface,8,Hydrozoan unk,8,1,,
6/24/20,512,Mussel Point,onshore,surface,8,Isopod,8,1,adult,
6/24/20,512,Mussel Point,onshore,surface,8,Larvacean,8,1,adult,
6/24/20,512,Mussel Point,onshore,surface,8,Polychaete,8,1,metatrochophore,
6/24/20,512,Mussel Point,onshore,surface,8,Pteropod,8,1,veliger,
6/24/20,512,Mussel Point,onshore,surface,8,Upogebia,8,1,zoea_1,
6/24/20,512,Mussel Point,onshore,surface,8,B.crenatus,16,2,cyprid,
6/24/20,512,Mussel Point,onshore,surface,8,B.crenatus,16,2,nauplius_2.3,
6/24/20,512,Mussel Point,onshore,surface,8,Bivalve,16,2,unbo,
6/24/20,512,Mussel Point,onshore,surface,8,Podon,32,4,adult,
6/24/20,512,Mussel Point,onshore,surface,8,Egg_small,128,16,egg,
6/24/20,512,Mussel Point,onshore,surface,8,Harpacticoid,296,37,adult,
6/24/20,512,Mussel Point,onshore,surface,8,Calanoid,1704,213,adult,
6/24/20,521,Mussel Point,front,bottom,16,Egg_large,16,1,egg,Eggs_large
6/24/20,521,Mussel Point,front,bottom,16,Lanice (polychaete),16,1,larva,Lanice (polychaete)_larva
6/24/20,521,Mussel Point,front,bottom,16,Larvacean,16,1,adult,Larvaceans_adult
6/24/20,521,Mussel Point,front,bottom,16,Littorina,16,1,egg_case,Littorina_egg case
6/24/20,521,Mussel Point,front,bottom,16,Pinnotherid,16,1,zoea_2,Pinnotherids_zoea 2
6/24/20,521,Mussel Point,front,bottom,16,Polychaete,16,1,,Polychaetes_?
6/24/20,521,Mussel Point,front,bottom,16,Ascidian,32,2,larva,Ascidians_larva
6/24/20,521,Mussel Point,front,bottom,16,B.crenatus,32,2,nauplius_4.5,B. crenatus_naups 4-5
6/24/20,521,Mussel Point,front,bottom,16,Pagurus,32,2,zoea_1,Pagurus spp_zoea 1
6/24/20,521,Mussel Point,front,bottom,16,Pleurobrachia,32,2,medusa,Pleurobrachia_medusa
6/24/20,521,Mussel Point,front,bottom,16,Copepod,48,3,metanauplius,Copepod naups_metanaups
6/24/20,521,Mussel Point,front,bottom,16,Embryos,48,3,,Embryos_
6/24/20,521,Mussel Point,front,bottom,16,Podon,48,3,,Podons_
6/24/20,521,Mussel Point,front,bottom,16,B.crenatus,80,5,cyprid,B. crenatus_cyprids
6/24/20,521,Mussel Point,front,bottom,16,Upogebia,96,6,zoea_1,Upogebia_zoea 1-2
6/24/20,521,Mussel Point,front,bottom,16,Urchin,96,6,echinopluteus,Urchins_echinopluteus
6/24/20,521,Mussel Point,front,bottom,16,Pinnotherid,112,7,zoea_1,Pinnotherids_zoea 1
6/24/20,521,Mussel Point,front,bottom,16,Egg_small,144,9,egg,Eggs_small
6/24/20,521,Mussel Point,front,bottom,16,Cyclopoid,160,10,adult,Cyclopoids_adult
6/24/20,521,Mussel Point,front,bottom,16,Harpactacoid,960,60,adult,Harpacticoids_adult
6/24/20,521,Mussel Point,front,bottom,16,Calanoid,28256,1766,adult,Calanoids_adult
6/24/20,521,Mussel Point,front,bottom,64,B.crenatus,224,14,nauplius_2.3,B. crenatus_naups 3
6/24/20,522,Mussel Point,front,surface,8,B.crenatus,8,1,nauplius_2.3,B. crenatus_naup 3
6/24/20,522,Mussel Point,front,surface,8,Diatom,8,1,,Diatoms_
6/24/20,522,Mussel Point,front,surface,8,Egg mass,8,1,egg,Egg mass_
6/24/20,522,Mussel Point,front,surface,8,Foram ,8,1,,Foraminaferan_
6/24/20,522,Mussel Point,front,surface,8,Gastropod,8,1,juvenile,Gastropod (regular)_small post-larva
6/24/20,522,Mussel Point,front,surface,8,Larvacean,8,1,adult,Larvacean_
6/24/20,522,Mussel Point,front,surface,8,Limpet,8,1,unbo,Limpet?_early umbo?
6/24/20,522,Mussel Point,front,surface,8,Pinnotherid,8,1,zoea_1,Pinnotherids_zoea 1
6/24/20,522,Mussel Point,front,surface,8,Podon,8,1,adult,Podons_adult
6/24/20,522,Mussel Point,front,surface,8,Amphipod,16,2,adult,Amphipods_
6/24/20,522,Mussel Point,front,surface,8,Ascidian,16,2,larva,Ascidians_tadpoles
6/24/20,522,Mussel Point,front,surface,8,B.crenatus,16,2,cyprid,B. crenatus_cyprids
6/24/20,522,Mussel Point,front,surface,8,B.crenatus,16,2,nauplius_4.5,B. crenatus_naup 4-5
6/24/20,522,Mussel Point,front,surface,8,Brachiopod,16,2,larva,Brachiopods_larva
6/24/20,522,Mussel Point,front,surface,8,Egg_large,16,2,egg,Eggs (large)_
6/24/20,522,Mussel Point,front,surface,8,Mytilus,24,3,umbo,"Mytilus, spp_early umbo"
6/24/20,522,Mussel Point,front,surface,8,Egg_small,40,5,egg,Eggs (tiny)_
6/24/20,522,Mussel Point,front,surface,8,Copepod,48,6,nauplius,Copepod naups_
6/24/20,522,Mussel Point,front,surface,8,Egg_small,72,9,egg,Eggs (small)_
6/24/20,522,Mussel Point,front,surface,8,Harpactacoid,496,62,adult,Harpactacoids_adult
6/24/20,522,Mussel Point,front,surface,8,Calanoid,2160,270,adult,Calanoids_adult
6/24/20,531,Mussel Point,offshore,bottom,16,B.crenatus,16,1,,B. crenatus_
6/24/20,531,Mussel Point,offshore,bottom,16,Copepod,16,1,nauplius,Copepods_nauplius
6/24/20,531,Mussel Point,offshore,bottom,16,Ctenophore,16,1,adult,Ctenophore_
6/24/20,531,Mussel Point,offshore,bottom,16,Gastropod,16,1,juvenile,Gastropod_
6/24/20,531,Mussel Point,offshore,bottom,16,Larvacean,16,1,adult,Larvacean_adult
6/24/20,531,Mussel Point,offshore,bottom,16,M.califorianus,16,1,postlarva,Mytilus califorianus_post-larva
6/24/20,531,Mussel Point,offshore,bottom,16,Upogebia_pugettensis,16,1,zoea_1,Upogebia pugettensis_zoea 1
6/24/20,531,Mussel Point,offshore,bottom,16,Diatom,32,2,,Diatoms_
6/24/20,531,Mussel Point,offshore,bottom,16,C.dalli.fissus,48,3,nauplius_4.5,Chthamalus dalli/fissus_
6/24/20,531,Mussel Point,offshore,bottom,16,Podon,64,4,adult,Podons_adult
6/24/20,531,Mussel Point,offshore,bottom,16,Cyclopoid,176,11,adult,Cyclopoids_adult
6/24/20,531,Mussel Point,offshore,bottom,16,Harpactacoid,1280,80,adult,Harpacticoids_adult
6/24/20,531,Mussel Point,offshore,bottom,16,Eggs,2432,152,egg,Eggs_
6/24/20,531,Mussel Point,offshore,bottom,16,Calanoid,38304,2394,adult,Calanoid_adult
6/24/20,532,Mussel Point,offshore,surface,64,Cyclopoid,64,1,adult,Cyclopoids_adult
6/24/20,532,Mussel Point,offshore,surface,64,Podon,128,2,adult,Podons_adult
6/24/20,532,Mussel Point,offshore,surface,64,Upogebia_pugettensis,128,2,zoea_1,Upogebia pugettensis_zoea 1
6/24/20,532,Mussel Point,offshore,surface,64,C.maenus,192,3,zoea_1,Carcinus maenus_zoea 1
6/24/20,532,Mussel Point,offshore,surface,64,B.crenatus,256,4,nauplius_4.5,Balanus crenatus_naup 4-5
6/24/20,532,Mussel Point,offshore,surface,64,Egg_small,3200,50,egg,Eggs _small
6/24/20,532,Mussel Point,offshore,surface,64,Calanoid,54720,855,adult,Calanoids_adult
6/24/20,533,Mussel Point,offshore,neuston,8,Aurelia,8,1,medusa,Aurelia?_medusa
6/24/20,533,Mussel Point,offshore,neuston,8,C.magister,8,1,megalopa,Cancer magister_megalopa
6/24/20,533,Mussel Point,offshore,neuston,8,Egg mass,8,1,egg,Egg mass_
6/24/20,533,Mussel Point,offshore,neuston,8,Fish,8,1,larva,Fish_
6/24/20,533,Mussel Point,offshore,neuston,8,Isopod,8,1,adult,Isopods_adult
6/24/20,533,Mussel Point,offshore,neuston,8,Phoronid,8,1,adult,Phoronid_adult
6/24/20,533,Mussel Point,offshore,neuston,8,Rockfish,8,1,juvenile,Rockfish_adult/small
6/24/20,533,Mussel Point,offshore,neuston,8,Petrolisthes,16,2,megalopa,"Petrolisthes, spp._megalopa"
6/24/20,533,Mussel Point,offshore,neuston,8,Polychaete,16,2,adult,Polychaetes_adult
6/24/20,533,Mussel Point,offshore,neuston,8,B.crenatus,24,3,cyprid,Balanus crenatus_cyprid
6/24/20,533,Mussel Point,offshore,neuston,8,Insect,48,6,adult,winged insects_adult
6/24/20,533,Mussel Point,offshore,neuston,8,Blackflies,288,36,adult,Blackflies_adult
6/24/20,533,Mussel Point,offshore,neuston,8,Amphipod,336,42,adult,Amphipods_adult
6/24/20,533,Mussel Point,offshore,neuston,8,Egg_small,1296,162,egg,Eggs_small
6/24/20,533,Mussel Point,offshore,neuston,8,Calanoid,2208,276,adult,Calanoids_adult
6/30/20,611,Mussel Point,onshore,bottom,128,Cyclopoid,128,1,adult,Cyclopoids_adult
6/30/20,611,Mussel Point,onshore,bottom,128,Diatom,128,1,,Diatoms_
6/30/20,611,Mussel Point,onshore,bottom,128,Larvacean,128,1,adult,Larvacean_adult
6/30/20,611,Mussel Point,onshore,bottom,128,Upogebia,128,1,zoea_1,Upogebia_zoea 1
6/30/20,611,Mussel Point,onshore,bottom,128,C.dalli.fissus,256,2,nauplius_4.5,Chthamalus dalli/fissus_nauplius 4-5
6/30/20,611,Mussel Point,onshore,bottom,128,Urchin,384,3,echinopluteus,Urchin_echinopluteus
6/30/20,611,Mussel Point,onshore,bottom,128,Egg_small,1408,11,egg,Eggs_small
6/30/20,611,Mussel Point,onshore,bottom,128,Harpactacoid,2176,17,adult,Harpactacoids_adult
6/30/20,611,Mussel Point,onshore,bottom,128,Copepod,2816,22,nauplius,copepods_nauplius
6/30/20,611,Mussel Point,onshore,bottom,128,Podon,4608,36,adult,Podons_adult
6/30/20,611,Mussel Point,onshore,bottom,128,Calanoid,434432,3394,adult,Calanoids_adult
6/30/20,612,Mussel Point,onshore,surface,16,Larvacean,16,1,adult,Larvaceans_adult
6/30/20,612,Mussel Point,onshore,surface,16,Copepod,32,2,metanauplius,Copepods_metanauplius
6/30/20,612,Mussel Point,onshore,surface,16,Egg_large,32,2,egg,Eggs_large
6/30/20,612,Mussel Point,onshore,surface,16,C.dalli.fissus,80,5,nauplius_4.5,Chthamalus dalli/fissus_nauplius 4-5
6/30/20,612,Mussel Point,onshore,surface,16,Cyclopoid,80,5,adult,Cyclopoids_adult
6/30/20,612,Mussel Point,onshore,surface,16,Diatom,336,21,,Diatoms_
6/30/20,612,Mussel Point,onshore,surface,16,Copepod,352,22,nauplius,Copepods_nauplius
6/30/20,612,Mussel Point,onshore,surface,16,Harpactacoid,608,38,adult,Harpacticoids_adult
6/30/20,612,Mussel Point,onshore,surface,16,Podon,704,44,adult,Podons_adult
6/30/20,612,Mussel Point,onshore,surface,16,Calanoid,44416,2776,adult,Calanoids_adult
6/30/20,612,Mussel Point,onshore,surface,64,Egg_small,208,13,egg,Eggs_small
6/30/20,621,Mussel Point,front,bottom,16,B.crenatus,16,1,nauplius_4.5,Balanus crenatus_nauplius  4-5
6/30/20,621,Mussel Point,front,bottom,16,Euphausid,16,1,protozoea,Euphausiid_protozoea
6/30/20,621,Mussel Point,front,bottom,16,Gastropod,16,1,adult,Gastropod_adult
6/30/20,621,Mussel Point,front,bottom,16,Petrolisthes,16,1,zoea_1,Petrolisthes_zoea 1
6/30/20,621,Mussel Point,front,bottom,16,Polychaete,16,1,trochophore,Polychaete?_trochophore
6/30/20,621,Mussel Point,front,bottom,16,Upogebia_pugettensis,16,1,zoea_1,Upogebia pugettensis_zoea 1
6/30/20,621,Mussel Point,front,bottom,16,Evadne,32,2,adult,Evadne_adult
6/30/20,621,Mussel Point,front,bottom,16,Larvacean,32,2,adult,Larvaceans_adult
6/30/20,621,Mussel Point,front,bottom,16,Pinnotherid,32,2,zoea_1,Pinnotherid_zoea 1
6/30/20,621,Mussel Point,front,bottom,16,C.dalli.fissus,112,7,nauplius_4.5,Chthamalus dalli/fissus_nauplius  4-5
6/30/20,621,Mussel Point,front,bottom,16,Diatom,160,10,,Diatoms_
6/30/20,621,Mussel Point,front,bottom,16,Egg_small,432,27,egg,Eggs_small
6/30/20,621,Mussel Point,front,bottom,16,Cyclopoid,448,28,adult,Cyclopoids_adults
6/30/20,621,Mussel Point,front,bottom,16,Podon,464,29,adult,Podons_adult
6/30/20,621,Mussel Point,front,bottom,16,Copepod,1232,77,nauplius,Copepods_nauplius  
6/30/20,621,Mussel Point,front,bottom,16,Harpactacoid,1872,117,adult,Harpacticoids_adults
6/30/20,621,Mussel Point,front,bottom,16,Calanoid,11504,719,adult,Calanoids_adult
6/30/20,622,Mussel Point,front,surface,16,B.crenatus,16,1,cyprid,B. crenatus_cyprid
